article,section,paragraph,sentence_idx,sentence_text,statement_idx,statement,annotator1_class,annotator1_language,annotator2_class,annotator2_language,annotator3_class,annotator3_language,gemini_class,gemini_language,openai_class,openai_language,gold_class
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",1.0,Basque is a morphologically ergative language.,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",2.0,"In Basque, intransitive verbs show two different morphological alignments.",L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",3.0,"In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun (Levin 1983).",C,,C,,C,Basque,L-Spec,Basque,L-Spec,Basque,C
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",4.0,"In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun.",L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",5.0,"In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan (Levin 1983).",C,,C,,C,Basque,C,,L-Spec,Basque,C
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",6.0,"In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan.",L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2.0,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",1.0,"There exists some dialectal variation in Basque regarding the use of certain agentive verbs, specifically those that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",3.0,We will henceforth refer to this group of verbs as agentive process verbs.,1.0,"The group of verbs that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it, is referred to as agentive process verbs.",L-Theo,,L-Spec,Basque,L-Theo,,S,,S,,L-Theo
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",1.0,"In Eastern dialects of Basque, some agentive process verbs combine an absolutive subject with the auxiliary izan (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012).",C,,C,,C,Basque,L-Spec,Basque,L-Spec,Basque,C
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",2.0,"In Eastern dialects of Basque, some agentive process verbs combine an absolutive subject with the auxiliary izan.",L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec,Basque,L-Spec
