article,section,paragraph,sentence_idx,sentence_text,statement_idx,statement,Gold Class,Gold Verification,veredict,confidence,rationale,raw_response,raw,parse_error,verdict
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",1.0,Basque is a morphologically ergative language.,L-Spec,True,True,0.95,"Basque exhibits canonical morphological ergativity: transitive subjects (A) are marked with the ergative case suffix -k, while intransitive subjects (S) and transitive objects (P) are marked with the absolutive case (unmarked or -a). This ergative-absolutive alignment in nominal case marking is well-documented and uncontroversial in descriptive linguistics, though syntactic behavior shows mixed alignment properties.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Basque exhibits canonical morphological ergativity: transitive subjects (A) are marked with the ergative case suffix -k, while intransitive subjects (S) and transitive objects (P) are marked with the absolutive case (unmarked or -a). This ergative-absolutive alignment in nominal case marking is well-documented and uncontroversial in descriptive linguistics, though syntactic behavior shows mixed alignment properties.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",2.0,"In Basque, intransitive verbs show two different morphological alignments.",L-Spec,True,True,0.9,"Basque exhibits split-S (active) alignment: intransitive subjects of unaccusative verbs pattern with objects (absolutive case), while intransitive subjects of unergative verbs pattern with transitive subjects (ergative case), creating two distinct morphological alignment patterns for intransitive verbs.","{""veredict"": true, ""confidence"": 0.9, ""rationale"": ""Basque exhibits split-S (active) alignment: intransitive subjects of unaccusative verbs pattern with objects (absolutive case), while intransitive subjects of unergative verbs pattern with transitive subjects (ergative case), creating two distinct morphological alignment patterns for intransitive verbs.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",4.0,"In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun.",L-Spec,True,True,0.9,"In Basque, transitive verbs (prototypically agentive) require the auxiliary *edun* (or dialectal *ukan*) and mark their subjects with ergative case (-k). While semantically agentive unergative intransitives exist (taking absolutive subjects and *izan*), the term 'agentive verb' in ergativity literature typically denotes transitives. The statement accurately describes the canonical transitive construction.","{""veredict"": true, ""confidence"": 0.9, ""rationale"": ""In Basque, transitive verbs (prototypically agentive) require the auxiliary *edun* (or dialectal *ukan*) and mark their subjects with ergative case (-k). While semantically agentive unergative intransitives exist (taking absolutive subjects and *izan*), the term 'agentive verb' in ergativity literature typically denotes transitives. The statement accurately describes the canonical transitive construction.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",6.0,"In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan.",L-Spec,True,True,0.95,"Basque exhibits split intransitivity: patientive (unaccusative) verbs like 'etorri' (come) assign absolutive case to their sole argument and obligatorily select the auxiliary *izan* (to be), contrasting with agentive (unergative) verbs which typically take ergative subjects and the auxiliary *edin*.","```json
{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Basque exhibits split intransitivity: patientive (unaccusative) verbs like 'etorri' (come) assign absolutive case to their sole argument and obligatorily select the auxiliary *izan* (to be), contrasting with agentive (unergative) verbs which typically take ergative subjects and the auxiliary *edin*.""}
```",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2.0,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",1.0,"There exists some dialectal variation in Basque regarding the use of certain agentive verbs, specifically those that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",L-Spec,True,True,0.9,"Basque exhibits well-documented dialectal variation in split intransitivity (e.g., auxiliary selection: *edun vs. izan for unergative subjects; case-marking variation in eastern dialects). The description aligns with variation in how agentive intransitive subjects (S) are encoded—whether as pure agents (ergative/auxiliary *edun in western varieties) or patterning with undergoers (absolutive/auxiliary izan in eastern varieties), effectively showing differential mapping of initiator/undergoer roles across dialects.","```json
{""veredict"": true, ""confidence"": 0.9, ""rationale"": ""Basque exhibits well-documented dialectal variation in split intransitivity (e.g., auxiliary selection: *edun vs. izan for unergative subjects; case-marking variation in eastern dialects). The description aligns with variation in how agentive intransitive subjects (S) are encoded—whether as pure agents (ergative/auxiliary *edun in western varieties) or patterning with undergoers (absolutive/auxiliary izan in eastern varieties), effectively showing differential mapping of initiator/undergoer roles across dialects.""}
```",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",3.0,We will henceforth refer to this group of verbs as agentive process verbs.,1.0,"The group of verbs that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it, is referred to as agentive process verbs.",L-Theo,True,False,0.75,"The term 'agentive process verbs' is not a standard category in descriptive linguistics with this definition. Verbs where the subject functions as both the initiator (agent) and the undergoer (patient/theme) of a non-static event are typically analyzed as reflexive verbs, middle voice constructions, or specific subclasses of unaccusative verbs—not as 'agentive process verbs'. Standard classifications distinguish agentive subjects (initiators, typically of unergative or transitive verbs) from patientive subjects (undergoers, typically of unaccusative verbs); conflating both roles under the label 'agentive process' contradicts the usual semantic role inventory in frameworks like Role and Reference Grammar, lexical semantics (Dowty, Levin), and typological studies of voice and transitivity.","```json
{""veredict"": false,
 ""confidence"": 0.75,
 ""rationale"": ""The term 'agentive process verbs' is not a standard category in descriptive linguistics with this definition. Verbs where the subject functions as both the initiator (agent) and the undergoer (patient/theme) of a non-static event are typically analyzed as reflexive verbs, middle voice constructions, or specific subclasses of unaccusative verbs—not as 'agentive process verbs'. Standard classifications distinguish agentive subjects (initiators, typically of unergative or transitive verbs) from patientive subjects (undergoers, typically of unaccusative verbs); conflating both roles under the label 'agentive process' contradicts the usual semantic role inventory in frameworks like Role and Reference Grammar, lexical semantics (Dowty, Levin), and typological studies of voice and transitivity.""}
```",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",2.0,"In Eastern dialects of Basque, some agentive process verbs combine an absolutive subject with the auxiliary izan.",L-Spec,True,True,0.9,"Eastern Basque dialects (particularly High Navarrese and Labourdin) show areal variation in split intransitivity where certain unergative/agentive process verbs pattern with unaccusative syntax, combining absolutive case subjects with the auxiliary *izan*, contrasting with Western dialects where such verbs typically require ergative subjects and the auxiliary *edun*.","```json
{
  ""veredict"": true,
  ""confidence"": 0.9,
  ""rationale"": ""Eastern Basque dialects (particularly High Navarrese and Labourdin) show areal variation in split intransitivity where certain unergative/agentive process verbs pattern with unaccusative syntax, combining absolutive case subjects with the auxiliary *izan*, contrasting with Western dialects where such verbs typically require ergative subjects and the auxiliary *edun*.""
}
```",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",3.0,"The combination of an absolutive subject with the auxiliary izan for agentive process verbs in Eastern dialects of Basque resembles other ergative – non-active – languages like Warlpiri, Niuean and Samoan.",L-Typo,True,False,0.8,"While Eastern Basque dialects (e.g., Roncalese, Souletin) do exhibit constructions where agentive/transitive verbs appear with absolutive subjects and the auxiliary 'izan' (a tense/aspect-based split or 'aorist' construction), this represents a departure from canonical ergativity rather than a resemblance to it. In ergative languages like Warlpiri, Niuean, and Samoan, agentive subjects of transitive verbs are canonically marked as ergative, not absolutive. The Basque phenomenon (analyzable as an antipassive-like or detransitivized construction) does not accurately parallel the core ergative alignment systems of the cited languages, and the term 'non-active' is not standard typological classification for these languages.","{""veredict"": false,
 ""confidence"": 0.8,
 ""rationale"": ""While Eastern Basque dialects (e.g., Roncalese, Souletin) do exhibit constructions where agentive/transitive verbs appear with absolutive subjects and the auxiliary 'izan' (a tense/aspect-based split or 'aorist' construction), this represents a departure from canonical ergativity rather than a resemblance to it. In ergative languages like Warlpiri, Niuean, and Samoan, agentive subjects of transitive verbs are canonically marked as ergative, not absolutive. The Basque phenomenon (analyzable as an antipassive-like or detransitivized construction) does not accurately parallel the core ergative alignment systems of the cited languages, and the term 'non-active' is not standard typological classification for these languages.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",5.0,"In Warlpiri, all intransitive verbs combine with an absolutive subject.",L-Spec,True,True,0.95,"Warlpiri exhibits classic ergative-absolutive alignment: the single argument of intransitive verbs (S) consistently appears in the absolutive case (unmarked), patterning with transitive objects (P), while transitive subjects (A) are marked with the ergative suffix (-ngku/-rlu). Descriptive grammars (Hale 1982; Laughren 2002; Simpson 1991) confirm this holds for all lexical intransitive verbs, with no evidence of split-S or active alignment in the case-marking system.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Warlpiri exhibits classic ergative-absolutive alignment: the single argument of intransitive verbs (S) consistently appears in the absolutive case (unmarked), patterning with transitive objects (P), while transitive subjects (A) are marked with the ergative suffix (-ngku/-rlu). Descriptive grammars (Hale 1982; Laughren 2002; Simpson 1991) confirm this holds for all lexical intransitive verbs, with no evidence of split-S or active alignment in the case-marking system.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",7.0,"In Niuean, all intransitive verbs combine with an absolutive subject.",L-Spec,True,True,0.95,"Niuean is a morphologically ergative language where the single argument (subject) of intransitive verbs is consistently marked with absolutive case, patterning with objects of transitive verbs (P) and distinct from ergative-marked transitive subjects (A). This follows the standard S=P≠A alignment characteristic of ergative-absolutive systems.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Niuean is a morphologically ergative language where the single argument (subject) of intransitive verbs is consistently marked with absolutive case, patterning with objects of transitive verbs (P) and distinct from ergative-marked transitive subjects (A). This follows the standard S=P≠A alignment characteristic of ergative-absolutive systems.""}",,,
