article,section,paragraph,sentence_idx,sentence_text,statement_idx,statement,Gold Class,Gold Verification,veredict,confidence,rationale,raw_response,veredict.1,raw,parse_error
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",1.0,Basque is a morphologically ergative language.,L-Spec,True,True,0.95,"Basque systematically marks A of transitive clauses differently from S of intransitive clauses (ergative -k vs. absolutive ∅) and shows syntactic ergativity in some coreference patterns, satisfying the descriptive criterion of morphological ergativity.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Basque systematically marks A of transitive clauses differently from S of intransitive clauses (ergative -k vs. absolutive ∅) and shows syntactic ergativity in some coreference patterns, satisfying the descriptive criterion of morphological ergativity.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",2.0,"In Basque, intransitive verbs show two different morphological alignments.",L-Spec,True,True,0.95,"Descriptive work agrees that Basque intransitive auxiliaries split into ‘unaccusative’ (absolutive subject) vs. ‘unergative’ (absolutive subject but different auxiliary root / agreement pattern), i.e. two morphological alignments.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Descriptive work agrees that Basque intransitive auxiliaries split into ‘unaccusative’ (absolutive subject) vs. ‘unergative’ (absolutive subject but different auxiliary root / agreement pattern), i.e. two morphological alignments.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",4.0,"In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun.",L-Spec,True,True,0.85,Descriptive studies of Basque show that canonical (agentive) transitive clauses code the agent with ergative case and select the transitive auxiliary *edun* (as opposed to *izan* for intransitives).,"{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Descriptive studies of Basque show that canonical (agentive) transitive clauses code the agent with ergative case and select the transitive auxiliary *edun* (as opposed to *izan* for intransitives).""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1.0,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",6.0,"In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan.",L-Spec,True,True,0.9,"Descriptive grammars show that unaccusative/patientive intransitives (e.g., etorri ‘come’, hil ‘die’) take an absolutive NP and the auxiliary izan, matching the statement.","{""veredict"": true, ""confidence"": 0.9, ""rationale"": ""Descriptive grammars show that unaccusative/patientive intransitives (e.g., etorri ‘come’, hil ‘die’) take an absolutive NP and the auxiliary izan, matching the statement.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2.0,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",1.0,"There exists some dialectal variation in Basque regarding the use of certain agentive verbs, specifically those that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",L-Spec,True,True,0.9,"Descriptive studies document dialectal contrasts in Basque unaccusative vs. unergative coding of agentive change-of-state verbs (e.g., ‘leave’ in central dialects case-mark O, eastern ones ergative), creating variable agent-experiencer syncretism.","{""veredict"": true, ""confidence"": 0.90, ""rationale"": ""Descriptive studies document dialectal contrasts in Basque unaccusative vs. unergative coding of agentive change-of-state verbs (e.g., ‘leave’ in central dialects case-mark O, eastern ones ergative), creating variable agent-experiencer syncretism.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",3.0,We will henceforth refer to this group of verbs as agentive process verbs.,1.0,"The group of verbs that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it, is referred to as agentive process verbs.",L-Theo,True,False,0.95,"The described verbs are canonically labeled ‘middle verbs’ or ‘middle constructions’ (e.g., ‘This bread cuts easily’), while ‘agentive process verbs’ is not a recognized technical term for this class in descriptive syntax/morphosyntax.","{""veredict"": false, ""confidence"": 0.95, ""rationale"": ""The described verbs are canonically labeled ‘middle verbs’ or ‘middle constructions’ (e.g., ‘This bread cuts easily’), while ‘agentive process verbs’ is not a recognized technical term for this class in descriptive syntax/morphosyntax.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",2.0,"In Eastern dialects of Basque, some agentive process verbs combine an absolutive subject with the auxiliary izan.",L-Spec,True,True,0.95,"Descriptive studies (e.g. Oyharçabal 2016, Rezac et al. 2014) document eastern varieties where certain agentive/unaccusative verbs (e.g. joan ‘go’, etorri ‘come’) keep an absolutive core argument and select izan, not *edun.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Descriptive studies (e.g. Oyharçabal 2016, Rezac et al. 2014) document eastern varieties where certain agentive/unaccusative verbs (e.g. joan ‘go’, etorri ‘come’) keep an absolutive core argument and select izan, not *edun.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",3.0,"The combination of an absolutive subject with the auxiliary izan for agentive process verbs in Eastern dialects of Basque resembles other ergative – non-active – languages like Warlpiri, Niuean and Samoan.",L-Typo,True,True,0.8,"Descriptive work shows that some Eastern Basque varieties allow absolutive subjects with certain agentive verbs when the auxiliary is izan; parallel constructions in Warlpiri, Niuean and Samoan likewise use absolutive/non-ergative marking for subjects in non-canonical clause types, so the typological comparison is valid.","{""veredict"": true, ""confidence"": 0.8, ""rationale"": ""Descriptive work shows that some Eastern Basque varieties allow absolutive subjects with certain agentive verbs when the auxiliary is izan; parallel constructions in Warlpiri, Niuean and Samoan likewise use absolutive/non-ergative marking for subjects in non-canonical clause types, so the typological comparison is valid.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",5.0,"In Warlpiri, all intransitive verbs combine with an absolutive subject.",L-Spec,True,True,0.95,Warlpiri is an ergative language in which the sole argument of a canonical intransitive clause appears in the absolutive case; field descriptions and syntactic tests consistently treat this as the default pattern.,"{""veredict"":true,""confidence"":0.95,""rationale"":""Warlpiri is an ergative language in which the sole argument of a canonical intransitive clause appears in the absolutive case; field descriptions and syntactic tests consistently treat this as the default pattern.""}",,,
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",4.0,"In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).",7.0,"In Niuean, all intransitive verbs combine with an absolutive subject.",L-Spec,True,True,0.9,Descriptive work on Niuean (e.g. Massam & Bauer 2018) shows all intransitive clauses pattern syntactically with a single absolutive argument; no other subject case is attested.,"{""veredict"": true, ""confidence"": 0.9, ""rationale"": ""Descriptive work on Niuean (e.g. Massam & Bauer 2018) shows all intransitive clauses pattern syntactically with a single absolutive argument; no other subject case is attested.""}",,,
