article	section	paragraph	sentence_idx	sentence_text	statement_idx	statement	John	Corrected Statement John	Kim	Corrected Statement Kim	Lucia	Corrected Statement Lucia	Gold	Corrected Statement Gold
glossa-5270-pineda		Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).	1	Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).	1	Basque is a morphologically ergative language (Levin 1983).	problem	Basque is a morphologically ergative language.	problem	Basque is a morphologically ergative language.	ok		problem	
					2	In Basque, intransitive verbs show two different morphological alignments (Levin 1983).	problem	In Basque, intransitive verbs show two different morphological alignments.	problem	In Basque, intransitive verbs show two different morphological alignments.	ok		problem	
					3	In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun (Levin 1983).	ok		problem	In Basque, agentive verbs usually occur with an ergative subject and the auxiliary edun.	ok		ok	
					4	In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan (Levin 1983).	ok		problem	In Basque, patientive verbs combine with an absolutive subject and the auxiliary izan. Levin 1983 shows that in Basque, patientive verbs combine with an absolutive subject and the auxiliary izan.	ok		ok	
			2	Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.	1	There exists some dialectal variation in Basque regarding the use of certain agentive verbs, specifically those that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.	ok		ok		ok		ok	
			3	We will henceforth refer to this group of verbs as agentive process verbs.	1	The group of verbs that convey non-static processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it, is referred to as agentive process verbs.	ok		ok		ok		ok	
			4	In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).	1	In Eastern dialects of Basque, some agentive process verbs combine an absolutive subject with the auxiliary izan (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012).	ok		ok		ok		ok	
					2	The combination of an absolutive subject with the auxiliary izan for agentive process verbs in Eastern dialects of Basque resembles other ergative – non-active – languages like Warlpiri, Niuean and Samoan.	ok		ok		ok		ok	
					3	In Warlpiri, Niuean, and Samoan, all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018).	problem	not atomic	ok		ok		problem	
			6	With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking.	1	With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque are unergative.	problem	Previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque are unergative.	problem	non atomic: Some studies have ...(...). Levin (1983) did not assume...	problem	Levin (1983) does not assume that the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque are unergative.	problem	Previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque are unergative. Levin (1983) does not assume that the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque are unergative.
